iter	RMSE
0	30.53037714
1	26.71785964
2	25.05724197
3	24.46677827
4	23.43593038
5	23.13250741
6	22.74973578
7	22.11261796
8	21.86885575
9	21.53533028
10	21.18728043
11	21.04443623
12	21.00232524
13	20.71340975
14	20.52648637
15	20.41561675
16	20.29089235
17	20.00957114
18	19.73931704
19	19.4411778
20	19.2361269
21	19.0233807
22	18.79907938
23	18.52353653
24	18.3043022
25	18.1619321
26	18.0058114
27	17.89250089
28	17.71290322
29	17.56406969
30	17.40497342
31	17.29937135
32	17.18581796
33	17.08185578
34	17.01131167
35	16.92087124
36	16.80468913
37	16.65630138
38	16.53004642
39	16.46826876
40	16.35839054
41	16.22763309
42	16.17759605
43	16.08838656
44	16.01380148
45	15.87270198
46	15.75139963
47	15.69342365
48	15.6079335
49	15.5477346
