iter	Passed	Remaining
0	5	275
1	10	254
2	15	248
3	20	238
4	25	230
5	30	224
6	35	217
7	40	210
8	45	205
9	50	200
10	55	195
11	60	191
12	65	186
13	72	186
14	81	190
15	86	184
16	94	183
17	99	177
18	104	171
19	110	166
20	115	160
21	121	154
22	127	149
23	132	143
24	137	137
25	142	131
26	148	126
27	153	120
28	158	114
29	163	108
30	167	102
31	175	98
32	182	94
33	190	89
34	197	84
35	202	78
36	209	73
37	214	67
38	219	61
39	224	56
40	229	50
41	234	44
42	239	38
43	246	33
44	252	28
45	257	22
46	263	16
47	268	11
48	273	5
49	279	0
