iter	RMSE
0	4016.643141
1	3754.297008
2	3518.3142
3	3312.006148
4	3128.972302
5	2971.682277
6	2836.914436
7	2718.057206
8	2613.686946
9	2510.048526
10	2419.117777
11	2342.537707
12	2274.520652
13	2215.323347
14	2161.216864
15	2115.723943
16	2078.869293
17	2037.791267
18	2002.293376
19	1970.93264
20	1943.75537
21	1920.988633
22	1899.473781
23	1881.223051
24	1865.188773
25	1850.494798
26	1836.877821
27	1820.082573
28	1809.74892
29	1798.908644
30	1786.803023
31	1775.483167
32	1767.98526
33	1761.949298
34	1754.284976
35	1747.836718
36	1741.311956
37	1734.02102
38	1727.708286
39	1722.463782
40	1717.728988
41	1712.116701
42	1708.238389
43	1704.468806
44	1701.008645
45	1695.113905
46	1690.285889
47	1685.778458
48	1682.179786
49	1679.358221
50	1675.877841
51	1673.217711
52	1670.578023
53	1669.066716
54	1665.809238
55	1663.985775
56	1662.658376
57	1660.034231
58	1658.006125
59	1656.316848
60	1653.81667
61	1652.258114
62	1649.914424
63	1647.208275
64	1645.744108
65	1642.125844
66	1639.289887
67	1637.331297
68	1635.937912
69	1633.585425
70	1632.775405
71	1629.846298
72	1627.132237
73	1625.024707
74	1622.866767
75	1620.778512
76	1619.100357
77	1616.050646
78	1614.251436
79	1613.070569
80	1612.106981
81	1610.486213
82	1609.384338
83	1608.162752
84	1606.970962
85	1605.682336
86	1602.682491
87	1601.587281
88	1601.048154
89	1599.460602
90	1596.247481
91	1593.331423
92	1592.08624
93	1590.268081
94	1589.282123
95	1586.99197
96	1585.449603
97	1583.107227
98	1581.264037
99	1579.459109
