iter	Passed	Remaining
0	269	26729
1	482	23631
2	683	22101
3	905	21734
4	1128	21447
5	1299	20358
6	1478	19641
7	1655	19037
8	1843	18642
9	2045	18406
10	2247	18181
11	2426	17797
12	2620	17538
13	2795	17175
14	2976	16866
15	3180	16695
16	3355	16384
17	3524	16054
18	3701	15778
19	3890	15563
20	4068	15303
21	4253	15081
22	4451	14901
23	4629	14660
24	4829	14487
25	5035	14331
26	5235	14154
27	5416	13929
28	5612	13741
29	5815	13569
30	6001	13358
31	6174	13121
32	6379	12952
33	6559	12732
34	6739	12515
35	6924	12309
36	7113	12112
37	7313	11931
38	7515	11755
39	7707	11560
40	7896	11363
41	8087	11168
42	8274	10968
43	8463	10772
44	8636	10555
45	8830	10365
46	9021	10173
47	9231	10001
48	9419	9803
49	9618	9618
50	9821	9436
51	10016	9245
52	10219	9062
53	10411	8869
54	10597	8671
55	10791	8478
56	10976	8280
57	11174	8092
58	11368	7899
59	11569	7713
60	11767	7523
61	11955	7327
62	12147	7134
63	12347	6945
64	12545	6755
65	12743	6564
66	12945	6376
67	13131	6179
68	13329	5988
69	13536	5801
70	13729	5607
71	13929	5417
72	14129	5226
73	14320	5031
74	14529	4843
75	14697	4641
76	14871	4442
77	15067	4249
78	15250	4054
79	15452	3863
80	15654	3672
81	15857	3480
82	16062	3289
83	16231	3091
84	16435	2900
85	16625	2706
86	16827	2514
87	17023	2321
88	17227	2129
89	17417	1935
90	17621	1742
91	17818	1549
92	18012	1355
93	18198	1161
94	18391	967
95	18593	774
96	18797	581
97	19003	387
98	19199	193
99	19399	0
