iter	Passed	Remaining
0	156	15501
1	330	16211
2	494	15984
3	631	15150
4	840	15975
5	1031	16165
6	1158	15393
7	1281	14731
8	1427	14433
9	1572	14151
10	1697	13736
11	1817	13327
12	1940	12985
13	2061	12664
14	2187	12397
15	2310	12129
16	2432	11876
17	2552	11629
18	2674	11402
19	2793	11175
20	2914	10964
21	3034	10758
22	3159	10578
23	3280	10389
24	3402	10207
25	3525	10033
26	3655	9883
27	3776	9712
28	3897	9541
29	4020	9380
30	4153	9245
31	4273	9080
32	4393	8919
33	4512	8759
34	4632	8604
35	4753	8449
36	4874	8299
37	4996	8152
38	5123	8013
39	5244	7866
40	5365	7721
41	5489	7580
42	5608	7434
43	5730	7292
44	5852	7152
45	5975	7015
46	6106	6886
47	6244	6764
48	6368	6628
49	6495	6495
50	6622	6362
51	6744	6225
52	6868	6091
53	6988	5953
54	7114	5820
55	7234	5684
56	7352	5546
57	7473	5411
58	7593	5277
59	7716	5144
60	7836	5010
61	7954	4875
62	8083	4747
63	8207	4616
64	8329	4485
65	8449	4352
66	8569	4220
67	8691	4089
68	8811	3958
69	8935	3829
70	9060	3700
71	9184	3571
72	9305	3441
73	9425	3311
74	9547	3182
75	9680	3057
76	9824	2934
77	9972	2812
78	10118	2689
79	10272	2568
80	10421	2444
81	10569	2320
82	10783	2208
83	10929	2081
84	11064	1952
85	11198	1823
86	11325	1692
87	11444	1560
88	11564	1429
89	11686	1298
90	11809	1167
91	11930	1037
92	12061	907
93	12184	777
94	12310	647
95	12433	518
96	12555	388
97	12688	258
98	12815	129
99	12941	0
